sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
8002-9B_6_motion_blur_4,238,194,187,238,189,145,216,48,21,43,128,60,55,72,150,3
2003-6B_5_gaussian_blur_5,233,165,140,201,145,102,160,28,39,24,63,45,24,29,58,3
2001-6B_6_gaussian_blur_5,125,179,176,198,168,130,184,60,25,24,86,45,27,41,86,3
2002-4B_8_brightness_1,239,184,184,220,157,122,196,20,10,12,84,34,25,36,100,3
2003-6C_4_clahe_6,242,201,186,194,171,130,171,23,34,4,69,45,42,59,111,3
2003-6B_4_gamma_3,233,165,140,234,164,95,215,42,12,24,114,44,43,58,132,3
2001-4B_2_gamma_3,235,189,190,239,180,140,216,34,10,22,115,45,39,55,137,3
2002-4B_8_motion_blur_4,239,184,184,238,179,146,215,49,40,41,111,64,55,65,126,3
8002-12B_4_clahe_6,236,187,168,178,139,100,131,1,20,20,59,42,24,30,60,3
8002-12C_4_gamma_3,222,158,133,234,157,85,221,40,14,34,122,48,50,65,149,3
2003-6C_5_hue_2,242,201,186,219,187,148,161,34,36,35,69,54,20,23,54,3
2002-4B_6_gamma_3,239,184,184,195,163,121,174,49,16,18,72,33,19,31,70,3
2001-6B_3_rotate_8,125,179,176,236,175,132,219,46,16,35,129,59,50,67,146,3
2001-6B_2_rotate_8,125,179,176,240,181,139,219,50,20,39,126,57,57,74,153,3
8002-12C_4,222,158,133,236,167,98,226,52,21,44,134,60,62,78,159,3
2002-4B_3_hue_2,239,184,184,220,179,128,181,46,28,19,60,46,19,22,57,3
8002-9B_3_gamma_3,238,194,187,216,191,171,169,62,62,49,97,81,34,50,93,3
8002-12C_7_gaussian_blur_5,222,158,133,213,165,117,195,54,51,24,89,63,48,65,119,3
2003-6B_6_motion_blur_4,233,165,140,212,163,123,175,60,60,52,90,77,33,45,84,3
8002-12C_3,222,158,133,232,161,97,221,45,14,31,125,51,54,69,146,3
8002-12B_6_noise_7,236,187,168,229,196,152,197,64,59,31,100,71,59,75,125,3
2002-6C_6_gamma_3,236,184,174,226,177,147,181,40,56,57,90,71,33,38,70,3
2001-6B_8_gamma_3,125,179,176,235,182,149,215,53,40,38,111,65,55,66,128,3
8002-12B_8_motion_blur_4,236,187,168,229,197,149,212,57,41,36,119,73,57,75,142,3
2003-6C_6_noise_7,242,201,186,210,181,141,190,53,31,27,80,44,29,40,86,3
2001-6B_4_motion_blur_4,125,179,176,208,177,149,161,52,45,41,86,65,26,42,78,3
2002-6C_3,236,184,174,216,180,156,174,66,64,62,100,85,40,53,89,3
